Question,A,B,C,D,Answer
Which of these symptoms revealed during the patient history is most likely to suggest a spontaneous pneumothorax?,Pleural friction rub,Dyspnea,"Dull, achy chest pain",Productive cough,Dyspnea
Which part of the part encounter is most beneficial in the formulation of a diagnosis?,Physical exam,Laboratory exam,Case history,Radiographic exam,Case history
"Which of these items, in a history of past illnesses, predisposes one to carcinoma of the gall bladder?",Achlorhydria,Previous gastric carcinoma,Previous cholelithiasis,Pernicious anemia,Previous cholelithiasis
"A 30 year old woman presents with constant pain in the right hand of three months duration, nothing makes it better or worse. Which bit of information would be most beneficial in the history?",She sits on her hands,She sleeps with the right hand under her pillow,She takes 1-2 aspirins per day,She stands for 3-4 hours each day,She sleeps with the right hand under her pillow
Which question would help substantiate a rib fracture?,Do you have a family history of fragile ribs,Do you have lower back pain,Do you smoke,Does deep breathing or coughing make the pain worse,Does deep breathing or coughing make the pain worse
Which information obtained from the patient’s personal history most likely indicates metastatic bone disease?,Change in bowel habits,Waking up to urinate in the middle of the night,Pain aggravated by rest,Waking up with stiff joints,Pain aggravated by rest
"A 43 year old painter presents with fatigue, discoloration of the gums, pallor and headache. What question from the case history would be most important?",Do you use lead based paints,Have you recently been to Mexico,Do you eat iron rich food,Do you have shortness of breath,Do you use lead based paints
Which is the preferred way of inquiring about precipitating factors of a patient’s chest pain?,“What brings on your chest pain?”,“Is your chest pain caused by walking rapidly?”,“Does your chest pain occur with activity or when you are upset?”,“What kinds of activity bring on your chest pain?”,“What brings on your chest pain?”
What is the best method to determine the cause of a patient’s headaches?,Orthopedic testing,Physical exam,Present complaint and review of systems,Radiography and advanced imaging,Present complaint and review of systems
"After obtaining as much information as possible about the chief complaint, the next step in history taking is a system review. What is the purpose of the system review?","It reveals what other illnesses, operations, and accidents the patient has had",It reveals the relationship between the body systems and the present complaint,It helps to determine which other systems need treatment,It helps determine if there are complications due to past illness,"It reveals what other illnesses, operations, and accidents the patient has had"
A patient presents immediately following an automobile accident. Which of these would be least important to ask this patient?,Have you been in a car accident before,What position were you in on impact,What was the damage to the car,What is your present complaint and symptoms,What was the damage to the car
"When a doctor asks a patient about vision disturbances, weight change, urinary problems, and sleeping problems, the doctor is addressing the _________.",Family history,System review,Chief complaint,Social history,System review
"A patient complains of intense, superficial chest pain localized to a band from the side of the torso forward to the sternum.  The complaint began the previous day.  Which of these is most likely to appear in the next few days?",Ankle swelling,A rash,Jaundice,Cyanosis,A rash
"A 13 year old girl presents with a history of constipation alternating with diarrhea, stool studies are negative for parasites and sigmoidoscopy is negative.  Which of these is most likely?",Crohn disease,Irritable bowel syndrome,Diverticulitis,Ulcerative colitis,Irritable bowel syndrome
"A 72 year old man presents with a six month history of difficulty sleeping due to rib pain.  Radiographs are negative for pathology and examination findings are negative.  He has a past history of prostate cancer, which was successfully treated.  Which is the next, best procedure?",Computerized tomography,Radionucleotide (bone) scan,Prostate exam,MRI,Radionucleotide (bone) scan
What color is pallor?,White,Blue,Yellow,Red,White
Mild ischemia of the myocardium with pectoral pain causes which of these?,Pericarditis,Pleural friction,Cardiac tamponade,Angina pectoris,Angina pectoris
"A 25 year old male presents with fatigue and green urine.  Laboratory studies reveal a normal CBC, and SMAC reveals increased levels of: total bilirubin, indirect bilirubin, SGPT, and SGOT.  A heterophil test should be used to rule out which condition?",Cancer of the head of the pancreas,Infectious mononucleosis,Cholecystitis,Viral hepatitis,Infectious mononucleosis
Excessive hyperemia due to dilation of normal peripheral blood vessels is called _____.,Thromboangitis obiterans,Polycythemia vera,Erythromelalgia,Acrocyanosis,Erythromelalgia
"A 19 year old female patient presents with a 2 week history of light-headedness, and the sensation of pins and needles in both hands and feet, and around the mouth.  What is the most likely cause?",Hyperventilation,Labyrinthitis,Otitis media,Meniere syndrome,Hyperventilation
A 55 year old man has dark lesions with edematous changes on the medial malleoli of both legs.  There are varicose veins and palpable heat in the legs.  What is the diagnosis?,Contact dermatitis,Atopic dermatitis,Neurogenic dermatitis,Stasis dermatitis,Stasis dermatitis
Borborygmus is most often detected during ______.,Evaluation of respiratory excursion,Auscultation of the abdomen,Palpation of cervical lymph nodes,Percussion of the lung fields,Auscultation of the abdomen
What is the first sign of adenocarcinoma of the prostate gland?,Increased serum level of alkaline phosphatase,Decreased serum amylase,"Diffuse, tender, enlarged prostate","Non-tender, solitary nodule of the prostate","Non-tender, solitary nodule of the prostate"
"A 62 year old taxicab driver with a history of cigarette smoking, has been experiencing right hip pain for the last 3 days.  He describes the pain as a tightness that is worse while the leg hangs.  Yesterday he developed sudden onset of left subscapular pain with dyspnea.  What is the most likely diagnosis?",Congestive heart failure,Thromboangitis obliterans,Pulmonary thromboembolism,Spontaneous pneumothorax,Pulmonary thromboembolism
Rose rash is a sign of which of these conditions?,Scarlett fever,Measles,Cancer,Typhoid fever,Typhoid fever
"Decrease or absence of hydrochloric acid, ferments, and small amounts of lactic acid are found in which condition?",Gastric neuroses,Chronic gastritis,Gastric ulcer,Achylia gastrica,Achylia gastrica
A patient with an acute attack of myoglobinuria will have which complaint?,Swollen and non-tender muscles,Tetanic muscles,Non-contractible muscles,Swollen and painful muscles,Swollen and painful muscles
A three year old child presents with a cough and fever.  Which of these mouth lesions is indicative of rubeola?,Forrscheimer spots,Bitot spots,Koplick spots,Strawberry tongue,Koplick spots
"A 63 year old man complains of thoracic pain that feels like a weight on his chest.  He has a history of chronic sinusitis/bronchitis.  There is no fever, cough, or hemoptysis.  What is the most likely diagnosis?",Pneumothorax,Musculoskeletal pain,Bronchiectasis,Ulcer,Bronchiectasis
A 23 year old man presents with chest pain of sudden onset following an episode of violent coughing.  The pain is localized to a specific area of the chest.  Auscultation reveals decreased breath sounds in the affected region with increased resonance on percussion.  What is the most likely diagnosis?,Pneumothorax,Pneumonia,Pulmonary embolism,Myocradial infarction,Pneumothorax
A 14 year old boy presents with a “pinching” sensation in the right inguinal region.  There is a sausage like mass on palpation that disappears into the abdomen.  What is the worst complication of this condition?,Internal hemorrhage,Appendicitis,Systemic infection,Ischemic necrosis,Ischemic necrosis
"A female patient presents with right lower quadrant pain for the last few days.  She is one month late for menses, but she has demonstrated spotting.  Her blood pressure drops when standing too quickly.  What is the most likely diagnosis?",Tumor,Appendicitis,Torsion of the ovary,Tubal pregnancy,Tubal pregnancy
Which finding would not be present in a patient with chronic venous obstruction of an extremity?,Cool skin temperature,Normal pulse amplitude,Cyanotic appearance,Rough skin texture,Cool skin temperature
A patient complains of a respiratory condition.  Absence of which sign suggests a viral etiology?,Night sweats,Purulent sputum,Muscle aches,Dyspnea,Purulent sputum
"A 65 year old man presents with urinary incontinence, both hesitancy and urgency, and incomplete emptying.  Which procedure would best aid in the diagnosis?",Kidney urinary bladder (KUB) study,24 urine specimen,Alkaline phosphatase level,Prostate exam,Prostate exam
"A 50 year old male presents with hypochromic anemia.  He has been taking iron supplements for six months without improvement.  Laboratory testing reveals a decreased serum iron, and increased TBIC (total iron binding capacity).  What should be done next?",Occult blood testing,Alkaline phosphatase test,Serum red cell count,Serum amylase test,Occult blood testing
"What is suggested by a rough, rumbling, low pitched, diastolic murmur?",Tricuspid regurgitation,Aortic stenosis,Mitral stenosis,Aortic regurgitation,Mitral stenosis
"A patient presents with clubbed nails, arthritis, perisostitis, and hypertrophic osteoarthropathy.  What is the diagnosis?",Fibrosarcoma,Gout,Bronchogenic carcinoma,Multiple myeloma,Bronchogenic carcinoma
Saccular aneurysms of the aorta are a complication of which condition?,Rheumatic aortitis,Left to right shunting,Syphilitic aortitis,Tetralogy of Fallot,Syphilitic aortitis
"A 35 year old woman complains of weakness, with a 15 pound weight loss, with no change in diet.  She also notes that always seems to be warm.  Which is the most likely diagnosis?",Hypothyroidism,Hyperthyroidism,Cushing syndrome,Addison disease,Hyperthyroidism
"A young girl with fever and a 3 mm macular rash, which blanches when pressure is applied.  The rash started on the outer extremities and has progressed to the anterior trunk.  Which of these items, if included in the history would best guide diagnosis?",Recent trip to the Rocky Mountains,Familial history of adrenal disease,Sexually active with many partners,"Allergy to medication, particularly antibiotics",Recent trip to the Rocky Mountains
A patient presents with wheezing respiration.  Examination reveals diffuse sibilant rales.  What is indicated by the exam findings?,Diffuse bronchodilation,Consolidation in the lungs,Fluid in the bronchial tree,Diffuse bronchospasm,Fluid in the bronchial tree
"A white 60 year old male has a complaint of anorexia and malaise, with alternating episodes of diarrhea and constipation, with hypochromic anemia.  What is the most likely cause?",Cancer of the cecum,Prostatic hyperplasia,Achlorhydria,Pernicious anemia,Cancer of the cecum
"During the seventh month of pregnancy, a female patient presents with a midline palpable mass is noted.  What is the most likely cause?",Incisional hernia,Hernia of the linea alba,Diastasis recti,Umbilical hernia,Diastasis recti
"In which location is lead stored, leading to toxicity in the body?",Loose connective tissue,Dense connective tissue,Blood,Bone,Bone
"A 44 year old man complains of acute onset of fever, recurrent lower abdominal cramps, and left lower quadrant tenderness.  Which condition is most likely?",Diverticulitis,Cholecystitis,Gastritis,Appendicitis,Diverticulitis
"Acute epigastric pain, relieved by sitting up and leaning forward, or by flexing the knees to the chest, is indicative of which condition?",Pancreatitis,Appendicitis,Peritonitis,Biliary obstruction,Pancreatitis
What is the most common cause of 2º hypertension?,Renal failure,Obesity,1º hyperaldosteronism,Pheochromocytoma,Renal failure
"In a patient with heart palpitations, a decreased hematocrit is most indicative of _____.",Congestive heart failure,Anemia,Hypoglycemia,Myocardial infarct,Anemia
"A 34 year old female presents with raised, asymmetrical lesions of blue and black, fading into the surrounding skin of her leg.  Which of these is the most likely diagnosis?",Leukoplakia,Seborrheic keratosis,Melanoma,Basal cell carcinoma,Melanoma
"A patient presents with nocturnal coughing, difficult breathing after mild exertion or lying supine.  Pulse and respiration rate are increased, with blood pressure of 120/100.  What is the most likely diagnosis?",Apnea,Heart failure,Asthma,Pneumonia,Heart failure
Moist rales are heard as a sign of which condition?,Laryngitis,Asthma,Lobar pneumonia,Emphysema,Lobar pneumonia
,,,,,
Quiz #2,,,,,
Which of these options most reliably increases the probability that episodic chest pain is due to myocardial ischemia?,Duration of the episodes of the complaint,Description of the pain as chest tightness or constriction,Severity of the pain,Presence of several cardiovascular risk factors,Presence of several cardiovascular risk factors
"A 29 year old woman presents with a right adnexal mass of 9 cm, which is tender to the touch.  Pain is localized to the area of the mass and there is no associated fever.  White cell count is within normal limits.  What is the most likely diagnosis?",Acute appendicitis,Ovarian cyst,Tubal pregnancy,Uterine fibroid,Uterine fibroid
"In a patient with a longstanding syphilis infection, what sign may be visible at the fingernails?",Convex curvature,Wide and flattened,Bent upward at the tips,Pitted with small indentations,Wide and flattened
A patient has a cough and erythema nodosum in both pretibial regions.  Chest radiography reveals bilateral hilar adenopathy.  Which is the most likely diagnosis?,Pneumocystitis carinii pneumonia,Sarcoidosis,Lung cancer,Asbetsosis,Sarcoidosis
Which of these is suggestive of a lung problem secondary to a chronic sinus infection?,Fever,Facial tenderness,Anemia,Foul smelling breath,Foul smelling breath
"A patient presents with clubbing of the nails, cyanosis of the lips and mouth, and hypertrophic sternomastoids is suggestive of _____________.",Endocrine,Cardiovascular,Neurogenic,Respiratory,Respiratory
"A 33 year old woman complains of being tired and unable to perform normal daily activities.  She has gained 25 pounds without change in diet.  During examination she displays: coarse, brittle hair, delayed relaxation of tendon reflexes (clonus), with normal muscle strength.  She states that she always feels cold.  What is the most likely diagnosis?",Hypothyroidism,Anemia,Hyperthyroidism,Cushing syndrome,Hypothyroidism
"A 6 year old male presents with 102º fever, painful swallowing, and sore throat.  There is tenderness in the submandibular area, and the angle of the mandible is obliterated due to swelling.  What is the most likely cause?",Peritonsillar abscess,Hodgkin disease,Acute pharyngitis,Mumps,Mumps
"A patient presents a history of waking up in the middle of the night with a dry cough, which is relieved by sitting up.  The patient notes he has several episodes every 2-3 months.  The episodes last approximately 10 days.  Which is the most likely diagnosis?",Bronchial pneumonia,Emphysema,Chronic bronchitis,Asthma,Chronic bronchitis
"A 55 year old man presents with acute onset thoracolumbar pain.  He states that the pain is deep and severe, and he has not been able to sleep for the last 2 days, due to inability to find a comfortable position.  He cannot recall any trauma, but states that the pain began after gardening.  What is the initial management?",Spinal adjustment,Rule out aortic aneurysm,Deep myofacial tissue massage,Check for occult blood in the stool,Rule out aortic aneurysm
A white gray ring around the iris (arcus senilis) is a normal finding in which age group?,10-20 years old,Over 60 years old,30-40 years old,50-60 years old,Over 60 years old
Increased fremitus without tracheal deviation is usually a physical exam finding associated with __________.,Pneumonia,Atelectasis,Pleural effusion,Endobronchial tumor,Pneumonia
What is the most common presenting symptom of otitis media?,Vertigo,Tinnitus,Hearing loss,Fever,Hearing loss
"A patient experiences neck pain on Kernig test, what is indicated?",Lumbosacral sciatic radiculopathy,C2 spinous process fracture,Hip pathology,Meningitis,Meningitis
Funduscopic examination is most rewarding in which of these conditions?,Myxedema,Increased intracranial pressure,Pulmonary embolism,Hyperventilation,Increased intracranial pressure
The ability to wrinkle the forehead is dependent upon patency of which cranial nerve?,The Facial nerve,The Trigeminal nerve,The Trochlear nerve,The Vagus nerve,The Facial nerve
Myxedema is associated with which of these?,Iodine toxicity,Polydipsia,Polyuria,Hypothermia,Hypothermia
Which sign will best aid in the diagnosis of tabes dorsalis?,Horner syndrome,Adie pupil,Marcus Gunn pupil,Argyll Robertson pupil,Argyll Robertson pupil
A patient presents with swelling of the supraclavicular lymph nodes.  What is the most likely primary site of involvement causing this finding?,The upper abdomen,The breasts,The nasopharynx,The oropharynx,The upper abdomen
What color do the oral and nasal mucous membranes turn during carbon monoxide poisoning?,Bright (cherry) red,Pale gray,Purple,Blue gray,Bright (cherry) red
Which of these signs from the otoscopic exam corresponds to serous otitis media?,Amber fluid with bubbles behind the tympanic membrane,Firm tympanic membrane with distortion of the cone of light,Firm tympanic membrane with distortion of the cone of light,"Fiery red, bulging tympanic membrane",Amber fluid with bubbles behind the tympanic membrane
Which is the order of examination in the funduscopic exam?,"Vessels, background, disc, macula","Disc, vessels, background, macula","Macula, disc, background, vessels","Background, disc, vessels, macula","Disc, vessels, background, macula"
"A patient presents with cyanosis of the neck, head, and upper limbs.  Which of these is the likely cause?",Acrocyanosis,Superior vena cava obstruction,Peripheral vascular disease,Abdominal aortic aneurysm,Superior vena cava obstruction
Gross inspection of the eye during physical exam may reveal which of these findings?,Papilledema,Retinitis,Myopia,Cataracts,Cataracts
"A patient has consistently elevated blood pressure, 190/130, and signs of uremia.  Ophthalmoscopic examination reveals cotton-wool exudates and papilledema.  Which of these is the most likely diagnosis?",Systolic hypertension,Malignant hypertension,Heart failure,Benign renal hypertension,Malignant hypertension
Which of these is the cause of cretinism?,Congenital thyroid hormone deficiency,Hyperadrenalism,Adrenal insufficiency,Hyperpituitarism,Congenital thyroid hormone deficiency
The ability to feel sensation on the face and bite evenly depends upon the integrity of the _________ nerve.,Tenth cranial,Seventh cranial,Eleventh cranial,Fifth cranial,Fifth cranial
Which of these conditions may be present when the patient demonstrates DeMusset sign?,Hyperthyroidism,Aortic insufficiency,Aortic regurgitation,Mitral stenosis,Aortic regurgitation
Which of these is the most common cause of central visual acuity loss with changes in color vision?,Open angle glaucoma,Macular degeneration,Lenticular cartaracts,Papilledema,Macular degeneration
A Wood’s lamp is useful in the diagnosis of which of these conditions?,Psoriasis,Tinea capitus,Acne vulgaris,Impetigo,Tinea capitus
The finger rub test is used as a screening to test which function?,Tactile sensation,Hearing,Visual acuity,Color perception,Hearing
Which is the term for a meibomian gland blockage?,Exophthalmos,Entropion,Pinguecula,Chalazion,Chalazion
How is conjunctivitis differentiated from iritis?,Absence of the corneal reflex,By checking the indirect light response,By checking extraocular movements,By examining the inside of the eyelid for redness,By examining the inside of the eyelid for redness
Total blockage of the right external auditory meatus yields which of these exam findings?,The patient will hear sound more acutely through the air than vibrating through bone,Weber test is louder in the right ear,Weber test is louder in the left ear,Air conduction is longer than bone conduction,Weber test is louder in the right ear
Uveitis is inflammation of the ________.,Iris and ciliary body,"Ciliary body, choroid, and sclera","Iris, ciliary body, and choroid",Iris and choroid,"Iris, ciliary body, and choroid"
Auscultation of the neck is not beneficial in which of these conditions?,Carotid body hypersensitivity,Areas of atherosclerotic plaquing,Vascular bruits,Arterial dissection,Carotid body hypersensitivity
Which of these is the most conspicuous feature during the funduscopic examination?,The macula,The optic disc,The vessels,The background,The optic disc
Which of these is a cause of thoracic outlet syndrome in the scalene triangle?,Clavicle,Chorocoid process,Cervical rib,Pectoralis minor muscle,Cervical rib
Which of these is the chief symptom of acute laryngitis?,Dyspnea,Pain,Cough,Hoarseness,Hoarseness
Which is the term for a lower eyelid turned inward?,Chalazion,Entropion,Pinguecula,Exophthalmos,Entropion
"A thin, pale, and distraught 53 year old man presents with a chief complaint of progressive dysphagia, and unintentional weight loss (25 pounds in the last 30 days).  The patient also reveals hoarseness with general fatigue.  Lymphadenopathy of the supraclavicular lymph nodes is present.  Which is the most likely diagnosis?",Diffuse esophageal spasm,Adenocarcinoma of the esophagus,Gastroesophageal reflux disease,Scleroderma,Adenocarcinoma of the esophagus
"A patient presents with instability, tremors, and inability to sleep.  Which of these is the most likely cause?",Hypoadrenalism,Hyperparathyoidism,Hypopituitarism,Hyperthyroidism,Hyperthyroidism
Which of these is the most probable diagnosis for a patient with unilateral exophthalmos?,Aneurysm,Hyperthyroidism,Hyperlipidemia,Hypothyroidism,Aneurysm
Which of these fractures is most life threatening?,Jefferson,Clay shoveler,Colle,March,Jefferson
"A 72 year old female presents with pain radiating to the jaw region, of three weeks duration.  Erythrocyte sedimentation rate is elevated.  Based on this information, which of these tests is warranted?",CT scan,Carotid angiography,Temporal artery biopsy,Dental x-rays,Temporal artery biopsy
A  pale optic cup that is greater than one half the optic disc diameter is characteristic of which condition?,Diabetic retinopathy,Glaucoma,Hypertensive retinopathy,Papilledema,Glaucoma
Constriction of the pupil when light strikes the opposite eye is called _________.,Myopia,Hypermetropia,The consensual light response,Esotropia,The consensual light response
A patient presents with yellow patches in the mouth.  These are most characteristic of _______.,Apthous ulcer,Rubeola,Candidiasis,Rubella,Apthous ulcer
"A patient demonstrates a red, pulsatile mass behind a normal intact tympanic membrane.  Which of these is most likely?",Otitis media,Acoustic neuroma,Chemodectoma,Rubral tumor,Chemodectoma
Which of these is not associated with iritis?,Ankylosing spondylitis,Degenerative joint disease,Septicemia,Gonorrhea,Degenerative joint disease
"A male patient presents with a 5 mm raised pearly gray nodule on his cheek, which exhibits telangectasis.  Which is the most likely diagnosis?",Squamous cell carcinoma,Melanoma,Basal cell carcinoma,Seborrheic keratosis,Basal cell carcinoma
Severe spasmotic torticollis usually demonstrates involvement of which muscles?,Anterior scalene,Trapezius,Splenius capitus,Sternomastoid,Sternomastoid
Which of these is used to determine if the trachea is midline?,The space between the trachea and the episternal notch,The space between the trachea and the sternomastoid muscle,The space between the trachea and trapezius muscle,The space between the trachea and the clavicle,The space between the trachea and the sternomastoid muscle
Normal rotation of the cervical spine is ________ degrees.,60-70º,50-60º,70-80º,80-90º,80-90º
"A patient complains of recurrent attacks of deafness, tinnitus, and vertigo, with nausea, nystagmus, and vomiting.  The episodes are preceded by a feeling of fullness in the ear.  Which of these conditions is suggested by the recurrent nature of the complaint?",Otitis media,Perceptual deafness,Otomycosis,Meniere disease,Meniere disease
What is the term for bilateral loss of peripheral vision?,Homonymous hemianopia,Nyctalopia,Quadrantanopia,Bitemporal hemianopia,Bitemporal hemianopia
Chronic irritation and pseudoarthrosis due to contact between the posterior aspects of the spinous processes is called ________.,Brailsford disease,Ullman disease,Ferguson disease,Baastrup disease,Baastrup disease
"Exophthalmos, warmth to touch, weight loss, and increased appetite suggest which condition?",Grave disease,Cushing disease,Addison disease,Hypothyroidism,Grave disease
Which of these conditions causes revascularization of the eye?,Conjunctivitis,Choroiditis,Diabetes,Glaucoma,Diabetes
Which of these is another term for a sty on the eyelid?,Hordeolum,Carbuncle,Pterygium,Furuncle,Hordeolum
"A female patient recently started experiencing eye discomfort, and that her eyes appear larger.  Which of these additional findings would be most consistent with this patient’s complaint?","Chills, fever, and nausea","Urgency, dysuria, and lower abdominal tenderness","Lethargy, stomach pain, and tarry stools","Nervousness, fatigue, and weight loss","Nervousness, fatigue, and weight loss"
Which palpation landmark is located at the level of the fifth cervical vertebra?,The first cricoid ring,The carotid tubercle,The lower portion of the thyroid cartilage,The hyoid bone,The lower portion of the thyroid cartilage
Which type of hearing loss results from an external or middle ear infection?,Combined hearing loss,Sensorineural hearing loss,Conductive hearing loss,Perceptive hearing loss,Conductive hearing loss
Hutchinson teeth are a result of __________.,Gingivitis,Reduced calcium intake,Excessive salivation,Congenital syphilis,Congenital syphilis
"A 25 year old obese woman present with weight gain, intolerance to cold, and loss of the lateral portions of her eyebrows.  Which condition is most likely?",Cushing disease,Hypoadrenalism,Hypothyroidism,Pregnancy,Hypothyroidism
Which structure is inflammed in a case of a hordeolum?,Lacrimal gland,Cowper glands,Parotid gland,Meibomian gland,Meibomian gland
